genre,count
"International Movies",2543
Dramas,2317
Comedies,1580
"International TV Shows",1128
"Action & Adventure",817
Documentaries,794
"Independent Movies",745
"TV Dramas",663
"Romantic Movies",588
Thrillers,549
"Children & Family Movies",535
"TV Comedies",501
"Crime TV Shows",421
"Kids' TV",370
"Horror Movies",340
Docuseries,330
"Music & Musicals",328
"Stand-Up Comedy",311
"Romantic TV Shows",299
"Sci-Fi & Fantasy",242
"British TV Shows",237
"Reality TV",205
"Sports Movies",201
"Anime Series",154
"TV Action & Adventure",153
"Spanish-Language TV Shows",145
"Korean TV Shows",136
"Classic Movies",115
"LGBTQ Movies",97
"TV Mysteries",92
"Science & Nature TV",82
"TV Sci-Fi & Fantasy",79
"TV Horror",72
"Cult Movies",70
"Teen TV Shows",66
"Anime Features",63
"Faith & Spirituality",63
"TV Thrillers",53
"Stand-Up Comedy & Talk Shows",47
Movies,34
"Classic & Cult TV",27
"TV Shows",9
Action,1
Horror,1
Sci-fi,1
Thriller,1
Romance,1
Drama,1
